time,tl_id,current_phase,current_demand,best_phase,best_demand,action
318,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,9,CHANGE
321,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
324,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
327,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
330,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,10,HOLD
333,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,11,CHANGE
336,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
339,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
342,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
345,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
348,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,12,CHANGE
351,cluster_1345077844_2589681474_8228683608_8228683609,6,10,0,10,HOLD
354,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,11,CHANGE
357,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
360,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
363,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
366,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
369,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,12,CHANGE
372,cluster_1345077844_2589681474_8228683608_8228683609,6,10,0,10,HOLD
375,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,11,CHANGE
378,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
381,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
384,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
387,cluster_1345077844_2589681474_8228683608_8228683609,6,10,0,10,HOLD
390,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,11,CHANGE
393,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
396,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
399,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
402,cluster_1345077844_2589681474_8228683608_8228683609,6,10,6,12,CHANGE
405,cluster_1345077844_2589681474_8228683608_8228683609,6,10,0,11,HOLD
408,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,12,CHANGE
411,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
414,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
417,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
420,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
423,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
426,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,9,HOLD
429,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,9,CHANGE
