time,tl_id,current_phase,queue_len,action,camera_detected
325,cluster_1345077844_2589681474_8228683608_8228683609,4,5,CHANGE_DEMAND,0
328,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
331,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
334,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,0
337,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
340,cluster_1345077844_2589681474_8228683608_8228683609,0,8,HOLD,0
343,cluster_1345077844_2589681474_8228683608_8228683609,0,7,HOLD,0
346,cluster_1345077844_2589681474_8228683608_8228683609,0,6,HOLD,0
349,cluster_1345077844_2589681474_8228683608_8228683609,0,5,CHANGE_DEMAND,0
352,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
355,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
358,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,0
361,cluster_1345077844_2589681474_8228683608_8228683609,6,5,CHANGE_DEMAND,0
364,cluster_1345077844_2589681474_8228683608_8228683609,4,8,HOLD,0
367,cluster_1345077844_2589681474_8228683608_8228683609,4,7,HOLD,0
370,cluster_1345077844_2589681474_8228683608_8228683609,4,7,HOLD,0
373,cluster_1345077844_2589681474_8228683608_8228683609,4,5,CHANGE_DEMAND,0
376,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
379,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
382,cluster_1345077844_2589681474_8228683608_8228683609,6,7,HOLD,0
385,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
388,cluster_1345077844_2589681474_8228683608_8228683609,0,8,HOLD,0
391,cluster_1345077844_2589681474_8228683608_8228683609,0,7,HOLD,0
394,cluster_1345077844_2589681474_8228683608_8228683609,0,6,HOLD,0
397,cluster_1345077844_2589681474_8228683608_8228683609,0,6,CHANGE_DEMAND,0
400,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
403,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
406,cluster_1345077844_2589681474_8228683608_8228683609,6,7,HOLD,0
409,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
412,cluster_1345077844_2589681474_8228683608_8228683609,4,8,HOLD,0
415,cluster_1345077844_2589681474_8228683608_8228683609,4,7,HOLD,0
418,cluster_1345077844_2589681474_8228683608_8228683609,4,7,HOLD,0
421,cluster_1345077844_2589681474_8228683608_8228683609,4,5,CHANGE_DEMAND,0
424,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
427,cluster_1345077844_2589681474_8228683608_8228683609,6,7,HOLD,0
430,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,0
433,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
436,cluster_1345077844_2589681474_8228683608_8228683609,4,8,HOLD,0
